ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East ,E06000001,Hartlepool,"10,003","10,577","10,775","10,854","11,468","12,071","12,544","13,017","13,575","14,229","14,491","14,057","14,393","14,921","15,319","15,766","15,520","16,371","17,674","17,944","17,649","18,090","18,300","17,912","18,853","20,154"
North East ,E06000004,Stockton-on-Tees,"15,842","16,434","16,793","16,947","17,748","18,943","20,406","21,005","22,415","23,558","23,733","24,244","24,251","24,342","24,620","25,427","26,158","27,628","28,028","27,682","28,169","29,771","29,025","30,906","33,034","33,314"
North East ,E06000002,Middlesbrough,"11,825","12,431","12,860","13,117","13,736","14,668","15,894","16,946","17,991","18,563","19,079","19,312","19,070","19,614","19,963","19,883","20,376","21,142","21,901","23,035","24,503","24,429","22,388","24,927","26,941","28,066"
North East ,E06000003,Redcar and Cleveland,"10,399","10,663","10,988","10,869","11,247","12,333","12,582","12,930","13,168","13,448","14,324","13,976","14,710","15,029","15,236","15,408","16,020","16,488","16,083","15,203","15,850","16,346","15,963","16,669","17,914","18,571"
North East ,E06000005,Darlington,"16,885","17,553","18,921","20,060","21,225","22,465","23,857","23,572","23,732","23,234","24,184","22,643","23,359","24,007","24,281","24,578","27,046","28,536","27,179","27,132","26,960","26,759","24,366","26,339","28,075","30,420"
North East ,E06000047,County Durham,"10,827","11,423","11,791","12,190","12,815","13,643","14,647","15,208","16,110","16,680","17,149","17,110","17,270","17,187","17,621","17,829","17,883","18,138","18,295","18,948","19,875","20,709","20,440","21,829","23,140","25,821"
North East ,E06000057,Northumberland,"11,284","11,379","11,603","12,064","12,904","13,343","14,242","14,760","15,461","15,790","16,145","15,652","16,173","16,721","16,919","17,086","17,636","18,000","18,576","18,953","19,286","20,270","18,627","20,031","21,912","23,339"
North East ,E08000021,Newcastle upon Tyne,"17,235","17,431","18,223","19,745","21,192","22,384","24,670","25,992","27,359","27,594","27,621","27,166","27,999","29,113","30,008","30,091","30,630","32,420","33,223","34,498","34,292","35,254","31,953","36,065","39,057","42,482"
North East ,E08000022,North Tyneside,"12,176","12,506","12,761","13,803","15,176","15,805","17,069","17,757","18,189","18,622","19,154","18,327","18,840","19,531","20,016","20,091","20,903","21,777","22,499","24,410","25,235","25,414","23,668","25,925","28,062","31,461"
North East ,E08000023,South Tyneside,"8,513","8,641","8,927","9,289","9,738","10,246","11,097","11,660","12,167","12,403","12,715","11,962","12,549","13,117","14,321","14,611","15,439","15,481","15,039","15,272","15,406","16,025","14,196","16,003","17,056","17,914"
