Date,North East,,North West,,Yorkshire and The Humber,,East Midlands,,West Midlands,,East,,London,,South East,,South West,,Wales,,Scotland,,Northern Ireland,
,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
2002,"18,075",2,"19,281",1,"18,899",1,"19,513",1,"19,183",1,"21,731",1,"25,235",1,"22,880",1,"19,308",2,"18,411",2,"19,116",1,"18,325",3
2003,"18,349",2,"20,031",1,"19,618",1,"20,245",1,"19,803",1,"22,666",1,"26,201",1,"23,797",1,"20,120",1,"19,156",2,"19,943",1,"18,502",2
2004,"19,311",2.7,"20,895",1.5,"20,469",1.6,"20,935",1.8,"20,795",1.7,"23,690",1.6,"27,046",1.4,"24,700",1.1,"21,000",1.4,"20,211",2.6,"20,609",1.5,"19,622",3
2005,"20,132",2.4,"21,923",1.5,"21,493",1.5,"21,950",1.7,"21,570",1.4,"24,393",1.9,"28,177",1.3,"25,224",1.3,"21,667",1.6,"20,998",2.6,"21,476",1.6,"20,060",2.6
2006,"20,431",1.9,"22,052",1.1,"21,843",1.2,"22,187",1.4,"22,110",1.2,"24,756",1.2,"28,671",1.2,"25,924",1,"22,255",1.4,"21,155",2.1,"22,477",1.3,"20,742",2.5
2007,"21,026",2,"22,833",1.4,"22,381",1.3,"22,544",1.7,"22,559",1.6,"25,526",1.4,"29,841",1.2,"26,666",1.2,"22,951",1.6,"21,589",2.2,"23,032",1.7,"20,934",2.6
2008,"21,872",2.4,"23,864",1.6,"23,410",1.7,"23,724",1.6,"23,820",1.8,"26,584",1.7,"31,097",1.3,"27,876",1.4,"23,968",1.8,"22,324",2.8,"24,132",1.5,"22,121",2.9
2009,"22,847",2.2,"24,011",1.4,"24,000",1.6,"24,549",1.6,"23,942",1.5,"27,303",1.5,"31,941",1.1,"28,657",1.1,"24,523",1.5,"23,124",2.3,"24,946",1.5,"23,015",2.9
2010,"23,184",2,"24,291",1.3,"23,949",1.3,"24,453",1.4,"23,901",1.3,"27,229",1.3,"32,003",1,"28,822",1,"24,474",1.3,"23,490",1.7,"25,082",1.2,"22,390",4
2011,"23,204",1.8,"24,166",1.2,"24,108",1.3,"24,337",1.3,"24,321",1.3,"27,799",1.3,"31,852",1,"29,286",1,"24,791",1.3,"23,606",1.6,"25,358",1.1,"23,035",2.2
2012,"23,769",1.6,"24,646",1.3,"24,285",1.5,"24,995",1.4,"24,615",1.4,"27,968",1.4,"32,509",0.9,"29,461",1.2,"25,036",1.4,"23,918",1.6,"25,907",1.1,"23,995",2.5
2013,"24,234",1.7,"25,309",1.2,"24,973",1.5,"25,379",1.3,"25,355",1.4,"28,369",1.3,"32,750",1.1,"29,650",1,"25,630",1.3,"24,427",1.5,"26,444",1.3,"23,999",2.3
